name,ticker,fiscal_year,net_profit_margin,peer_avg_margin,margin_diff_from_peers
Adobe Inc.,ADBE,2008,0.2435,0.1437,0.0998
The Boeing Company,BA,2008,0.0439,0.1437,-0.0998
Adobe Inc.,ADBE,2009,0.1312,0.0911,0.0401
The Boeing Company,BA,2009,0.0192,0.0911,-0.0719
"MetLife, Inc.",MET,2009,0.0646,0.0911,-0.0265
Microsoft Corporation,MSFT,2009,0.2493,0.0911,0.1582
NVIDIA Corporation,NVDA,2009,-0.0088,0.0911,-0.0999
Adobe Inc.,ADBE,2010,0.2039,-0.1267,0.3306
The Boeing Company,BA,2010,0.0514,-0.1267,0.1781
"MetLife, Inc.",MET,2010,0.0269,-0.1267,0.1536
Microsoft Corporation,MSFT,2010,0.3002,-0.1267,0.4269
NVIDIA Corporation,NVDA,2010,-0.0204,-0.1267,0.1063
"Tesla, Inc.",TSLA,2010,-1.3219,-0.1267,-1.1953
Adobe Inc.,ADBE,2011,0.1975,-0.0862,0.2837
The Boeing Company,BA,2011,0.0585,-0.0862,0.1447
"MetLife, Inc.",MET,2011,0.0374,-0.0862,0.1236
"MetLife, Inc.",MET,2011,0.0082,-0.0862,0.0944
"Meta Platforms, Inc.",META,2011,0.2695,-0.0862,0.3557
NVIDIA Corporation,NVDA,2011,0.0714,-0.0862,0.1576
"Tesla, Inc.",TSLA,2011,-1.2456,-0.0862,-1.1594
Adobe Inc.,ADBE,2012,0.1891,-0.0325,0.2216
The Boeing Company,BA,2012,0.0477,-0.0325,0.0802
"MetLife, Inc.",MET,2012,0.0622,-0.0325,0.0947
"MetLife, Inc.",MET,2012,0.2765,-0.0325,0.3090
"Meta Platforms, Inc.",META,2012,0.0104,-0.0325,0.0429
NVIDIA Corporation,NVDA,2012,0.1453,-0.0325,0.1778
"Tesla, Inc.",TSLA,2012,-0.9588,-0.0325,-0.9263
Adobe Inc.,ADBE,2013,0.0715,0.0690,0.0025
The Boeing Company,BA,2013,0.0529,0.0690,-0.0161
"MetLife, Inc.",MET,2013,0.0047,0.0690,-0.0643
"Meta Platforms, Inc.",META,2013,0.1905,0.0690,0.1215
NVIDIA Corporation,NVDA,2013,0.1314,0.0690,0.0624
"Tesla, Inc.",TSLA,2013,-0.0368,0.0690,-0.1058
Adobe Inc.,ADBE,2014,0.0647,0.0862,-0.0215
The Boeing Company,BA,2014,0.0600,0.0862,-0.0262
Alphabet Inc.,GOOGL,2014,0.2142,0.0862,0.1280
"MetLife, Inc.",MET,2014,0.0143,0.0862,-0.0719
"Meta Platforms, Inc.",META,2014,0.2358,0.0862,0.1496
NVIDIA Corporation,NVDA,2014,0.1065,0.0862,0.0203
"Tesla, Inc.",TSLA,2014,-0.0919,0.0862,-0.1781
Adobe Inc.,ADBE,2015,0.1313,-0.0156,0.1469
The Boeing Company,BA,2015,0.0539,-0.0156,0.0695
Alphabet Inc.,GOOGL,2015,0.2180,-0.0156,0.2336
"MetLife, Inc.",MET,2015,-0.6331,-0.0156,-0.6175
