name,ticker,fiscal_year,net_profit_margin,debt_to_assets_ratio,prior_year_margin,margin_pct_change
Apple Inc.,AAPL,2016,0.2119,0.6013,,
Apple Inc.,AAPL,2017,0.2109,0.6428,0.2119,-0.5
Apple Inc.,AAPL,2018,0.2241,0.7070,0.2109,6.3
Adobe Inc.,ADBE,2008,0.2435,0.2424,,
Adobe Inc.,ADBE,2009,0.1312,0.3284,0.2435,-46.1
Adobe Inc.,ADBE,2010,0.2039,0.3622,0.1312,55.4
Adobe Inc.,ADBE,2011,0.1975,0.3568,0.2039,-3.1
Adobe Inc.,ADBE,2012,0.1891,0.3318,0.1975,-4.3
Adobe Inc.,ADBE,2013,0.0715,0.3522,0.1891,-62.2
Adobe Inc.,ADBE,2014,0.0647,0.3718,0.0715,-9.5
Adobe Inc.,ADBE,2015,0.1313,0.4029,0.0647,102.9
Adobe Inc.,ADBE,2016,0.1996,0.4157,0.1313,52.0
Adobe Inc.,ADBE,2017,0.2320,0.4180,0.1996,16.2
Adobe Inc.,ADBE,2018,0.2869,0.5012,0.2320,23.7
Adobe Inc.,ADBE,2019,0.2642,0.4928,0.2869,-7.9
Adobe Inc.,ADBE,2020,0.4088,0.4538,0.2642,54.7
Adobe Inc.,ADBE,2021,0.3055,0.4568,0.4088,-25.3
Adobe Inc.,ADBE,2022,0.2701,0.4828,0.3055,-11.6
Adobe Inc.,ADBE,2023,0.2797,0.4453,0.2701,3.6
Adobe Inc.,ADBE,2024,0.2585,0.5334,0.2797,-7.6
Adobe Inc.,ADBE,2025,0.3000,0.6059,0.2585,16.1
The Boeing Company,BA,2008,0.0439,,,
The Boeing Company,BA,2009,0.0192,,0.0439,-56.3
The Boeing Company,BA,2010,0.0514,0.9583,0.0192,167.7
The Boeing Company,BA,2011,0.0585,0.9549,0.0514,13.8
The Boeing Company,BA,2012,0.0477,,0.0585,-18.5
The Boeing Company,BA,2013,0.0529,,0.0477,10.9
The Boeing Company,BA,2014,0.0600,,0.0529,13.4
The Boeing Company,BA,2015,0.0539,,0.0600,-10.2
The Boeing Company,BA,2016,0.0518,,0.0539,-3.9
The Boeing Company,BA,2017,0.0878,,0.0518,69.5
The Boeing Company,BA,2018,0.1034,,0.0878,17.8
The Boeing Company,BA,2019,-0.0083,1.0621,0.1034,-108.0
The Boeing Company,BA,2020,-0.2042,1.1188,-0.0083,-2360.2
The Boeing Company,BA,2021,-0.0675,1.1072,-0.2042,66.9
The Boeing Company,BA,2022,-0.0741,1.1156,-0.0675,-9.8
The Boeing Company,BA,2023,-0.0286,1.1257,-0.0741,61.4
The Boeing Company,BA,2024,-0.1777,1.0250,-0.0286,-521.3
The Boeing Company,BA,2025,0.0250,0.9676,-0.1777,114.1
Alphabet Inc.,GOOGL,2014,0.2142,,,
Alphabet Inc.,GOOGL,2015,0.2180,0.1840,0.2142,1.8
Alphabet Inc.,GOOGL,2016,0.2158,0.1699,0.2180,-1.0
Alphabet Inc.,GOOGL,2017,0.1142,0.2270,0.2158,-47.1
Alphabet Inc.,GOOGL,2018,0.2246,0.2370,0.1142,96.7
Alphabet Inc.,GOOGL,2019,0.2122,0.2699,0.2246,-5.5
Alphabet Inc.,GOOGL,2020,0.2206,0.3037,0.2122,4.0
Alphabet Inc.,GOOGL,2021,0.2951,0.2996,0.2206,33.8
Alphabet Inc.,GOOGL,2023,0.2401,0.2958,0.2951,-18.6
Alphabet Inc.,GOOGL,2024,0.2860,0.2780,0.2401,19.1
Alphabet Inc.,GOOGL,2025,0.3281,0.3024,0.2860,14.7
Lockheed Martin Corporation,LMT,2016,0.1121,0.9664,,
Lockheed Martin Corporation,LMT,2017,0.0401,1.0131,0.1121,-64.2
Lockheed Martin Corporation,LMT,2018,0.0939,0.9677,0.0401,134.2
Lockheed Martin Corporation,LMT,2019,0.1042,0.9333,0.0939,11.0
Lockheed Martin Corporation,LMT,2020,0.1045,0.8809,0.1042,0.3
Lockheed Martin Corporation,LMT,2021,0.0942,0.7846,0.1045,-9.9
Lockheed Martin Corporation,LMT,2022,0.0869,0.8248,0.0942,-7.7
